@T,table
Created,2022-07-24 09:46
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,11.774789399978513
,2013-12-15 12:00,6.710418360665889
,2013-12-15 13:00,5.118449076757031
,2013-12-15 14:00,2.072940877248971
,2013-12-15 15:00,-4.6678325260409075
,2013-12-15 16:00,-7.433863025544473
,2013-12-15 17:00,-8.59297256353325
,2013-12-15 18:00,-8.346107353257898
,2013-12-15 19:00,-8.26682404198726
,2013-12-15 20:00,-8.209214743220702
,2013-12-15 21:00,-8.25385839223967
,2013-12-15 22:00,-8.223244981455693
,2013-12-15 23:00,-7.978187181002977
,2013-12-16 00:00,-7.893440309227944
,2013-12-16 01:00,-7.88217021213013
,2013-12-16 02:00,-7.7263174418695515
,2013-12-16 03:00,-7.803014317933079
,2013-12-16 04:00,-7.774039156632382
,2013-12-16 05:00,-7.6622175622701585
,2013-12-16 06:00,-7.678874382154316
,2013-12-16 07:00,-7.668470613992588
,2013-12-16 08:00,19.54300359713897
,2013-12-16 09:00,14.318323056353478
,2013-12-16 10:00,10.67546893403744
,2013-12-16 11:00,8.170352795750913
,2013-12-16 12:00,6.658557971473646
,2013-12-16 13:00,5.192078593706781
,2013-12-16 14:00,2.144545935917986
,2013-12-16 15:00,-4.519029806695726
,2013-12-16 16:00,-7.328526023974164
,2013-12-16 17:00,-8.60658228688298
,2013-12-16 18:00,-8.424252125207296
,2013-12-16 19:00,-8.359982037784443
,2013-12-16 20:00,-8.380437041923708
,2013-12-16 21:00,-8.46594258185499
,2013-12-16 22:00,-8.504138652902151
,2013-12-16 23:00,-8.298198425906632
,2013-12-17 00:00,-8.078883964423625
,2013-12-17 01:00,-8.032340095337938
,2013-12-17 02:00,-7.978985588310904
,2013-12-17 03:00,-8.080960662624777
,2013-12-17 04:00,-7.964504738760844
,2013-12-17 05:00,-7.878378646492097
,2013-12-17 06:00,-7.93318079383417
,2013-12-17 07:00,-7.734547321824518
,2013-12-17 08:00,19.11203604110986
,2013-12-17 09:00,13.54579085082766
,2013-12-17 10:00,10.294655851024805
,2013-12-17 11:00,7.901317191728699
,2013-12-17 12:00,6.656008833640253
,2013-12-17 13:00,5.0261273091215815
,2013-12-17 14:00,1.9895232583983347
,2013-12-17 15:00,-4.6815894873954225
,2013-12-17 16:00,-7.384495738304593
,2013-12-17 17:00,-8.613597875031962
,2013-12-17 18:00,-8.505959985068294
,2013-12-17 19:00,-8.086582480513956
,2013-12-17 20:00,-8.056093006225185
,2013-12-17 21:00,-7.83680172955182
,2013-12-17 22:00,-7.818172395693173
,2013-12-17 23:00,-7.5110309352045155
,2013-12-18 00:00,-7.430121423054483
,2013-12-18 01:00,-7.164048360363149
,2013-12-18 02:00,-7.5448075253881495
,2013-12-18 03:00,-7.295641346659368
,2013-12-18 04:00,-7.099782378757871
,2013-12-18 05:00,-7.07022628844811
,2013-12-18 06:00,-7.000330188781151
,2013-12-18 07:00,-7.0534466779576075
,2013-12-18 08:00,19.683363757666694
,2013-12-18 09:00,13.726440830058351
,2013-12-18 10:00,9.974808539126578
,2013-12-18 11:00,7.880894728640569
,2013-12-18 12:00,6.440180783860272
,2013-12-18 13:00,4.860863315173109
,2013-12-18 14:00,1.835974620327803
,2013-12-18 15:00,-4.81846993360402
,2013-12-18 16:00,-7.619839097896801
,2013-12-18 17:00,-8.425000266814251
,2013-12-18 18:00,-8.018900117507883
,2013-12-18 19:00,-7.617405425157932
,2013-12-18 20:00,-7.393224591894602
,2013-12-18 21:00,-7.6569603109998665
,2013-12-18 22:00,-7.549680998174052
,2013-12-18 23:00,-7.260929108747501
,2013-12-19 00:00,-2.626688597973139
,2013-12-19 01:00,-7.126063547362495
,2013-12-19 02:00,-7.153022699699243
,2013-12-19 03:00,-7.301661936502514
,2013-12-19 04:00,-7.085116967628129
,2013-12-19 05:00,-7.087725138603188
,2013-12-19 06:00,-7.007838913532359
,2013-12-19 07:00,-6.756639599919143
,2013-12-19 08:00,20.658584594517396
,2013-12-19 09:00,14.527738096927951
,2013-12-19 10:00,10.440639923041092
,2013-12-19 11:00,8.065844915255342
,2013-12-19 12:00,6.862999298980263
,2013-12-19 13:00,5.062267616348845
,2013-12-19 14:00,2.055347534121925
,2013-12-19 15:00,-4.646706021144489
,2013-12-19 16:00,-7.111921590688539
,2013-12-19 17:00,-7.864779409394445
,2013-12-19 18:00,-7.7385062928468615
,2013-12-19 19:00,-7.568809813628281
,2013-12-19 20:00,-7.385389911743852
,2013-12-19 21:00,-7.360090411889399
,2013-12-19 22:00,-7.362859367193114
,2013-12-19 23:00,-7.238168618551925
,2013-12-20 00:00,-7.26439575277738
,2013-12-20 01:00,-7.10373688706767
,2013-12-20 02:00,-6.909138084208526
,2013-12-20 03:00,-6.833438018809016
,2013-12-20 04:00,-6.943255244477197
,2013-12-20 05:00,-6.963834690989735
,2013-12-20 06:00,-7.188409353621419
,2013-12-20 07:00,-7.048260503593071
,2013-12-20 08:00,20.034868309347424
,2013-12-20 09:00,14.227278504712347
,2013-12-20 10:00,10.276319791474833
,2013-12-20 11:00,7.9254117622695235
,2013-12-20 12:00,6.5492115657381955
,2013-12-20 13:00,4.980506951174547
,2013-12-20 14:00,2.003697880187666
,2013-12-20 15:00,-4.6503210790035885
,2013-12-20 16:00,-7.316468632965817
,2013-12-20 17:00,-8.048865615453128
,2013-12-20 18:00,-7.762727927583175
,2013-12-20 19:00,-7.485094854274449
,2013-12-20 20:00,-7.560836542040558
,2013-12-20 21:00,-7.542614052180999
,2013-12-20 22:00,-7.74881762954194
,2013-12-20 23:00,-7.688013001356772
,2013-12-21 00:00,-7.860406205267463
,2013-12-21 01:00,-7.644685707971064
,2013-12-21 02:00,-7.45584493902793
,2013-12-21 03:00,-7.34181457515547
,2013-12-21 04:00,-7.377895406837637
,2013-12-21 05:00,-7.4736205198220915
,2013-12-21 06:00,-7.472998054119258
,2013-12-21 07:00,-7.403346643433224
,2013-12-21 08:00,19.577727153382686
,2013-12-21 09:00,14.584297564186773
,2013-12-21 10:00,10.439251163166045
,2013-12-21 11:00,8.105368213439991
