@T,table
Created,2022-07-24 08:46
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0.0
,2013-12-15 01:00,0.0
,2013-12-15 02:00,0.0
,2013-12-15 03:00,0.0
,2013-12-15 04:00,0.0
,2013-12-15 05:00,0.0
,2013-12-15 06:00,0.0
,2013-12-15 07:00,28.895180753404343
,2013-12-15 08:00,90.22712584561498
,2013-12-15 09:00,135.7970308651302
,2013-12-15 10:00,158.2448970146021
,2013-12-15 11:00,157.51349268859082
,2013-12-15 12:00,129.08513778904432
,2013-12-15 13:00,79.1347747953528
,2013-12-15 14:00,9.36080040140048
,2013-12-15 15:00,0.0
,2013-12-15 16:00,0.0
,2013-12-15 17:00,0.0
,2013-12-15 18:00,0.0
,2013-12-15 19:00,0.0
,2013-12-15 20:00,0.0
,2013-12-15 21:00,0.0
,2013-12-15 22:00,0.0
,2013-12-15 23:00,0.0
,2013-12-16 00:00,0.0
,2013-12-16 01:00,0.0
,2013-12-16 02:00,0.0
,2013-12-16 03:00,0.0
,2013-12-16 04:00,0.0
,2013-12-16 05:00,0.0
,2013-12-16 06:00,0.0
,2013-12-16 07:00,28.025759172416205
,2013-12-16 08:00,87.0158378339212
,2013-12-16 09:00,131.98322912722114
,2013-12-16 10:00,154.75554833106818
,2013-12-16 11:00,156.36969029310973
,2013-12-16 12:00,129.68254544853022
,2013-12-16 13:00,79.09914829534988
,2013-12-16 14:00,9.750658645593457
,2013-12-16 15:00,0.0
,2013-12-16 16:00,0.0
,2013-12-16 17:00,0.0
,2013-12-16 18:00,0.0
,2013-12-16 19:00,0.0
,2013-12-16 20:00,0.0
,2013-12-16 21:00,0.0
,2013-12-16 22:00,0.0
,2013-12-16 23:00,0.0
,2013-12-17 00:00,0.0
,2013-12-17 01:00,0.0
,2013-12-17 02:00,0.0
,2013-12-17 03:00,0.0
,2013-12-17 04:00,0.0
,2013-12-17 05:00,0.0
,2013-12-17 06:00,0.0
,2013-12-17 07:00,27.26991293643912
,2013-12-17 08:00,87.44338296616095
,2013-12-17 09:00,135.8871937000962
,2013-12-17 10:00,158.0318006810179
,2013-12-17 11:00,159.0294273123445
,2013-12-17 12:00,129.91761386904474
,2013-12-17 13:00,80.06201714304439
,2013-12-17 14:00,9.654460933830796
,2013-12-17 15:00,0.0
,2013-12-17 16:00,0.0
,2013-12-17 17:00,0.0
,2013-12-17 18:00,0.0
,2013-12-17 19:00,0.0
,2013-12-17 20:00,0.0
,2013-12-17 21:00,0.0
,2013-12-17 22:00,0.0
,2013-12-17 23:00,0.0
,2013-12-18 00:00,0.0
,2013-12-18 01:00,0.0
,2013-12-18 02:00,0.0
,2013-12-18 03:00,0.0
,2013-12-18 04:00,0.0
,2013-12-18 05:00,0.0
,2013-12-18 06:00,0.0
,2013-12-18 07:00,26.453045465134746
,2013-12-18 08:00,85.53397559821649
,2013-12-18 09:00,134.7085067950587
,2013-12-18 10:00,160.59962404570405
,2013-12-18 11:00,159.33325341248292
,2013-12-18 12:00,131.91733787858377
,2013-12-18 13:00,81.03113716728417
,2013-12-18 14:00,9.596899092051638
,2013-12-18 15:00,0.0
,2013-12-18 16:00,0.0
,2013-12-18 17:00,0.0
,2013-12-18 18:00,0.0
,2013-12-18 19:00,0.0
,2013-12-18 20:00,0.0
,2013-12-18 21:00,0.0
,2013-12-18 22:00,0.0
,2013-12-18 23:00,0.0
,2013-12-19 00:00,0.0
,2013-12-19 01:00,0.0
,2013-12-19 02:00,0.0
,2013-12-19 03:00,0.0
,2013-12-19 04:00,0.0
,2013-12-19 05:00,0.0
,2013-12-19 06:00,0.0
,2013-12-19 07:00,25.728726495294584
,2013-12-19 08:00,82.57075042372098
,2013-12-19 09:00,130.19886804219706
,2013-12-19 10:00,156.78867791401416
,2013-12-19 11:00,157.7712683455951
,2013-12-19 12:00,128.75446518678584
,2013-12-19 13:00,80.72887340513792
,2013-12-19 14:00,10.492785372663917
,2013-12-19 15:00,0.0
,2013-12-19 16:00,0.0
,2013-12-19 17:00,0.0
,2013-12-19 18:00,0.0
,2013-12-19 19:00,0.0
,2013-12-19 20:00,0.0
,2013-12-19 21:00,0.0
,2013-12-19 22:00,0.0
,2013-12-19 23:00,0.0
,2013-12-20 00:00,0.0
,2013-12-20 01:00,0.0
,2013-12-20 02:00,0.0
,2013-12-20 03:00,0.0
,2013-12-20 04:00,0.0
,2013-12-20 05:00,0.0
,2013-12-20 06:00,0.0
,2013-12-20 07:00,25.18739466854559
,2013-12-20 08:00,83.73123839349002
,2013-12-20 09:00,131.734856959651
,2013-12-20 10:00,158.22198700894984
,2013-12-20 11:00,159.307538542611
,2013-12-20 12:00,131.74997036650262
,2013-12-20 13:00,81.52214003732816
,2013-12-20 14:00,10.783632938908777
,2013-12-20 15:00,0.0
,2013-12-20 16:00,0.0
,2013-12-20 17:00,0.0
,2013-12-20 18:00,0.0
,2013-12-20 19:00,0.0
,2013-12-20 20:00,0.0
,2013-12-20 21:00,0.0
,2013-12-20 22:00,0.0
,2013-12-20 23:00,0.0
,2013-12-21 00:00,0.0
,2013-12-21 01:00,0.0
,2013-12-21 02:00,0.0
,2013-12-21 03:00,0.0
,2013-12-21 04:00,0.0
,2013-12-21 05:00,0.0
,2013-12-21 06:00,0.0
,2013-12-21 07:00,24.614791922778224
,2013-12-21 08:00,84.41171993948814
,2013-12-21 09:00,129.6978087047613
,2013-12-21 10:00,156.97847317998523
,2013-12-21 11:00,157.89523549376509
,2013-12-21 12:00,129.86480674275077
,2013-12-21 13:00,81.44509337737442
,2013-12-21 14:00,12.100508954129094
,2013-12-21 15:00,0.0
,2013-12-21 16:00,0.0
,2013-12-21 17:00,0.0
,2013-12-21 18:00,0.0
,2013-12-21 19:00,0.0
,2013-12-21 20:00,0.0
,2013-12-21 21:00,0.0
,2013-12-21 22:00,0.0
,2013-12-21 23:00,0.0
,2013-12-22 00:00,0.0
,2013-12-22 01:00,0.0
,2013-12-22 02:00,0.0
,2013-12-22 03:00,0.0
,2013-12-22 04:00,0.0
,2013-12-22 05:00,0.0
,2013-12-22 06:00,0.0
